2017-02-07 09:53:01.941996 -- Unable to retweet id: 299542215292755968
2017-02-07 09:54:02.214717 -- Unable to retweet id: 299530494457020417
2017-02-07 09:54:02.350551 -- Unable to retweet id: 299530651776999424
2017-02-07 09:54:02.475665 -- Unable to retweet id: 299542215292755968
2017-02-07 09:55:01.689056 -- Unable to retweet id: 299530494457020417
2017-02-07 09:55:01.816845 -- Unable to retweet id: 299530651776999424
2017-02-07 09:55:01.947683 -- Unable to retweet id: 299542215292755968
2017-02-07 09:56:02.172162 -- Unable to retweet id: 299530494457020417
2017-02-07 09:56:02.296130 -- Unable to retweet id: 299530651776999424
2017-02-07 09:56:02.434002 -- Unable to retweet id: 299542215292755968
2017-02-07 09:57:01.646806 -- Unable to retweet id: 299530494457020417
2017-02-07 09:57:01.774323 -- Unable to retweet id: 299530651776999424
2017-02-07 09:57:01.900984 -- Unable to retweet id: 299542215292755968
2017-02-07 09:58:02.127552 -- Unable to retweet id: 299530494457020417
2017-02-07 09:58:02.280555 -- Unable to retweet id: 299530651776999424
2017-02-07 09:58:02.408109 -- Unable to retweet id: 299542215292755968
2017-02-07 09:59:01.616594 -- Unable to retweet id: 299530494457020417
2017-02-07 09:59:01.741170 -- Unable to retweet id: 299530651776999424
2017-02-07 09:59:01.869270 -- Unable to retweet id: 299542215292755968
2017-02-07 10:00:02.209938 -- Unable to retweet id: 299530494457020417
2017-02-07 10:00:02.423971 -- Unable to retweet id: 299530651776999424
2017-02-07 10:00:02.556715 -- Unable to retweet id: 299542215292755968
2017-02-07 10:01:01.780521 -- Unable to retweet id: 299530494457020417
2017-02-07 10:01:01.915245 -- Unable to retweet id: 299530651776999424
2017-02-07 10:01:02.040358 -- Unable to retweet id: 299542215292755968
2017-02-07 10:02:01.258429 -- Unable to retweet id: 299530494457020417
2017-02-07 10:02:01.387407 -- Unable to retweet id: 299530651776999424
2017-02-07 10:02:01.562026 -- Unable to retweet id: 299542215292755968
2017-02-07 10:03:01.797774 -- Unable to retweet id: 299530494457020417
2017-02-07 10:03:01.921327 -- Unable to retweet id: 299530651776999424
2017-02-07 10:03:02.047016 -- Unable to retweet id: 299542215292755968
2017-02-07 10:04:01.265614 -- Unable to retweet id: 299530494457020417
2017-02-07 10:04:01.403845 -- Unable to retweet id: 299530651776999424
2017-02-07 10:04:01.534492 -- Unable to retweet id: 299542215292755968
2017-02-07 10:05:01.754623 -- Unable to retweet id: 299530494457020417
2017-02-07 10:05:01.884894 -- Unable to retweet id: 299530651776999424
2017-02-07 10:05:02.020800 -- Unable to retweet id: 299542215292755968
2017-02-07 10:06:01.239634 -- Unable to retweet id: 299530494457020417
2017-02-07 10:06:01.374848 -- Unable to retweet id: 299530651776999424
2017-02-07 10:06:01.518848 -- Unable to retweet id: 299542215292755968
2017-02-07 10:07:01.738565 -- Unable to retweet id: 299530494457020417
2017-02-07 10:07:01.873143 -- Unable to retweet id: 299530651776999424
2017-02-07 10:07:02.062204 -- Unable to retweet id: 299542215292755968
2017-02-07 10:08:01.273551 -- Unable to retweet id: 299530494457020417
2017-02-07 10:08:01.413315 -- Unable to retweet id: 299530651776999424
2017-02-07 10:08:01.543049 -- Unable to retweet id: 299542215292755968
2017-02-07 10:09:01.767259 -- Unable to retweet id: 299530494457020417
2017-02-07 10:09:01.896858 -- Unable to retweet id: 299530651776999424
2017-02-07 10:09:02.054889 -- Unable to retweet id: 299542215292755968
2017-02-07 10:10:01.265328 -- Unable to retweet id: 299530494457020417
2017-02-07 10:10:01.402136 -- Unable to retweet id: 299530651776999424
2017-02-07 10:10:01.530914 -- Unable to retweet id: 299542215292755968
2017-02-07 10:11:01.746217 -- Unable to retweet id: 299530494457020417
2017-02-07 10:11:01.888197 -- Unable to retweet id: 299530651776999424
2017-02-07 10:11:02.014284 -- Unable to retweet id: 299542215292755968
2017-02-07 10:12:01.228262 -- Unable to retweet id: 299530494457020417
2017-02-07 10:12:01.355520 -- Unable to retweet id: 299530651776999424
2017-02-07 10:12:01.489226 -- Unable to retweet id: 299542215292755968
2017-02-07 10:13:01.718299 -- Unable to retweet id: 299530494457020417
